gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,1.201650693269026,0.17972994374728224,0.7214339853090237,0.7109500039441924,0.4771152179173501,
A1BG-AS1,6.768256361457734,-0.08851762052305541,0.5313153847541159,-0.23938276687487298,0.8108087916466803,0.8565503110533093
A1CF,5.196974615567317,0.31866388568876625,0.6952221337108059,0.9011930830385508,0.3674856680075831,0.456261261909259
A2M,1.8887905915656455,0.011717337242112021,0.6451733921589238,0.036778870141039734,0.9706613218328151,
A2M-AS1,6.021167802070014,0.13655627314097413,0.5665607420646684,0.3686163509836734,0.7124137062441305,0.7780095342907598
A4GALT,80.8629088376879,-0.862998832405538,0.21813585042871356,-4.138330807826837,3.4984171373469244e-05,8.994395990171377e-05
A4GNT,1.0733137784072002,-0.5065912792851217,0.9463362833217538,-1.3651616749640738,0.17220224100800952,
AAAS,2417.7016418648545,-0.8139168966690813,0.0455068844577987,-17.931767702939222,6.662726990452336e-72,1.506400930497583e-70
AACS,776.10834873574,0.40579037229819853,0.07181065611922553,5.680820856231077,1.3404982489340047e-08,4.6323731281551345e-08
AACSP1,2.415524844668516,-0.4935372670795603,0.8127394500025322,-1.3321071908289224,0.1828249677467183,0.25164519298032817
AADAT,491.9182276646259,-0.4786264572297874,0.0932612520261243,-5.16808359495936,2.3650652874000295e-07,7.424998851981513e-07
AAED1,206.89530110762786,-0.5892211916550112,0.1312713603331057,-4.56983358194732,4.881116572398221e-06,1.370483903384415e-05
AAGAB,4719.258531817988,-0.056802401732318,0.0481051461500744,-1.2169142440959761,0.2236368455049761,0.29922895678402023
AAK1,726.7682981404862,0.0973646015811553,0.07337130227856375,1.3347207610082785,0.18196775605441218,0.2506603871153681
AAMDC,171.136756741054,-0.009496310691931844,0.13646754333869915,-0.07117944875581494,0.9432549374403514,0.9581842388945097
AAMP,3207.0186252557323,0.07095568964303768,0.05273333400641229,1.349461442135173,0.17718879708604884,0.24492523519050277
AANAT,8.57744521070681,1.2957210120292955,0.6957805840992844,2.5257685187722845,0.011544552029507483,0.02099812988843225
AAR2,1953.808538468859,0.5410074797720039,0.0500809330853283,10.82893139245921,2.510681347086056e-27,2.087905694961795e-26
AARD,1.2422089273213939,-0.04736791952603963,0.6728323202245492,-0.16939020373867797,0.8654897284483057,
AARS,2317.6484358825855,-0.6673362593745503,0.05053038637412936,-13.263551265944919,3.766291256732403e-40,4.4972286521687664e-39
AARS2,569.5014242342643,0.0640178146133933,0.08172580795786458,0.7881118883801825,0.43063126191561996,0.5193088715744316
AARSD1,434.86618676489576,-0.12908580140976436,0.09154423298262343,-1.4220593301394053,0.15500902800795507,0.21826598538593603
AASDH,202.66914647819726,-0.22360099576594586,0.12718245936571798,-1.786285101932035,0.07405310786593026,0.11353335753246119
AASDHPPT,1831.6347954218254,-0.017620068791592863,0.05216517247403269,-0.36998936297260165,0.711390416027863,0.7772119741859768
AASS,506.77803793099093,-1.9781620559841235,0.11029839694717118,-18.034184250240642,1.0503401134220414e-72,2.405505551847285e-71
AATF,2823.8890418382252,-0.6742065453472516,0.056203155841758716,-12.036349679885905,2.2886025224346213e-33,2.2696377787907705e-32
AATK,50.0790553776653,-0.2379583996123157,0.3088053257032089,-0.8514216112632857,0.3945351909600603,0.483769866305468
ABAT,752.2709160150806,-2.4434875724191047,0.10985979597262363,-22.33753436398015,1.596135705039524e-110,6.136640583843986e-109
ABCA1,16.895273957356707,0.06480439614084187,0.3988153018728889,0.1910125379212735,0.8485157701754265,0.8860147199268055
ABCA10,2.385107944552156,0.7929695940212237,1.0195966137792931,1.7421508143934408,0.08148205795454336,0.123613221164932
ABCA11P,140.24279509916886,0.6546283278765267,0.15211954620121104,4.403281248564895,1.0662579143562396e-05,2.9011328585997035e-05
ABCA12,4.0808638643144315,0.38579860884885636,0.6613793909667062,0.9925598675560433,0.3209244906426887,0.4076619504477476
ABCA13,2.6804560705789857,0.29802831946615793,0.6723653308810696,0.8281067294735844,0.40761005876629897,0.4970069944371978
ABCA17P,1.2936441862095382,-0.23650675290507536,0.7427019316770156,-0.8714799105799518,0.38349217027540816,
ABCA2,3195.2604812414556,-0.4893727654022254,0.059651733869394714,-8.234266858469384,1.8066057305286213e-16,9.734510295471925e-16
ABCA3,70.75672048907947,0.9458582021771079,0.22832354035040014,4.342411555760688,1.409272244505778e-05,3.782695837402777e-05
ABCA4,12.820749493999841,-3.833944024419061,0.9162582811974468,-4.464078813219409,8.041396300949412e-06,2.2144447218375742e-05
ABCA5,324.11699461039194,0.8419667644713702,0.1402081015868573,6.117134223091737,9.52731172475856e-10,3.55559720335245e-09
ABCA7,350.2645887982869,1.7299543691963295,0.13972768437653366,12.524570500042445,5.478712687972304e-36,5.825295247458595e-35
ABCA9,1.8893196102904126,-0.1899270777862154,0.6687365780382531,-0.5841196023031033,0.5591398473998181,
ABCB1,227.1250703700887,-0.8216078665562458,0.14420234144604663,-5.811099630451434,6.206381153067905e-09,2.198196902834487e-08
ABCB10,451.6010961334862,0.31777050116803385,0.08760246610303721,3.6648041479674234,0.00024752792779950475,0.0005757565434436237
ABCB4,342.8549690102971,-2.6822051437971375,0.16354354145660405,-16.510505583130474,3.0828970716740008e-61,5.841722939266079e-60
ABCB6,505.06258476087055,-0.6355777438819268,0.08940041352006076,-7.173263694742923,7.323060388746109e-13,3.2964126755563295e-12
ABCB7,3766.37688132872,0.2383982883861951,0.04159258070743983,5.726700413982198,1.0240277143606016e-08,3.572090539004535e-08
ABCB8,562.062033534155,-0.7737184183788256,0.09390691859769379,-8.307811582275994,9.748315257921352e-17,5.330262245288016e-16
ABCB9,499.84582895164044,0.6855521707212263,0.1081032597023075,6.416926628546137,1.3905289680361495e-10,5.486626074425234e-10
ABCC1,1892.5052283104617,-0.7054716867658354,0.0573578160614551,-12.33564590267056,5.822017303191181e-35,6.0252958007083245e-34
ABCC10,855.423259670804,0.22419389742792714,0.08129652277961412,2.7736983468477954,0.0055423042945946495,0.010643925851479613
ABCC11,2.4643264465639607,-0.7229301289109106,1.2546320513116707,-1.7250088454914692,0.08452587843647638,0.12773173901769624
ABCC12,4.0834248721803,-0.4375020290778818,0.6747201876431743,-1.1030734921650012,0.26999525122803836,0.35222640880228556
ABCC2,4.366125656431311,0.5363291133472354,0.6867912353138441,1.2835787379736567,0.19928939317897443,0.27084095553532583
ABCC3,2197.2069783663715,0.14924679630501556,0.05796589449761157,2.5825043760804083,0.009808611824880166,0.018080332879747262
ABCC4,1373.4640469438111,-0.4948832698148981,0.06003645600815473,-8.27204760754129,1.3167770006873046e-16,7.150849375619185e-16
ABCC5,847.6087442224547,0.12397099274489444,0.06698319153029458,1.8582151936976612,0.06313846123481583,0.0983726397293034
ABCC6,63.671279935344806,-1.8528785204077869,0.26659951340816596,-7.1935277622133205,6.313830729797397e-13,2.851794657383234e-12
ABCC6P1,33.91509742037735,-3.8382206601783357,0.5412683511739911,-7.296770646650851,2.947566070152435e-13,1.3559655820409337e-12
ABCC6P2,21.044590102157446,-1.3809476414124895,0.43295909357214934,-3.6098142998333835,0.0003064162923930168,0.0007057195957198161
ABCC8,12.48974607032241,-1.0277165610942192,0.7195657754730356,-2.060713327641054,0.039330397387659435,0.06433088546000615
ABCC9,521.3153068463024,0.10268225647627167,0.09552442930583172,1.0834641261145372,0.27860246568998925,0.3619126292652868
ABCD1,806.018205904676,-1.2064427978648413,0.0976069095884401,-12.450761286173556,1.3851756770567136e-35,1.4553030529182646e-34
ABCD3,1863.7578233416773,0.24925303558750445,0.0513730338384902,4.859656682166276,1.1758948890961584e-06,3.4886708200826753e-06
ABCD4,1108.5427748431543,-0.5766311984356457,0.06653731774931415,-8.713229119876843,2.9533887528933805e-18,1.7481996571143152e-17
ABCE1,8624.880634918487,0.3465766665236748,0.046073251180537386,7.533452304724021,4.941606782447955e-14,2.3784564607264617e-13
ABCF1,168.3453428474612,-0.005193923311625144,0.16934245879443516,-0.03315367100633172,0.9735520429742643,0.9795832775789471
ABCF2,4661.854757407703,-0.46731076867974797,0.0379080084950823,-12.375849608655129,3.5313753523423027e-35,3.6737844106687864e-34
ABCF3,848.6033839145026,-0.14843384121125358,0.06573450753965251,-2.2667837632537204,0.023403438479197416,0.04011267117187561
